I,ID,ID1,LONV,LATV,COG_G,DA,CO_STOCK,DEM,AnalyticalHillshading,Slope,Aspect,CrossSectionalCurvature,LongitudinalCurvature,CovergenceIndex,ClosedDepressions,FlowAccumulation,TopographicWetnessIndex,LSFactor,ChannelNetworkBaseLevel,VerticalDistanceToChannelNetwork,ValleyDepth,RelativeSlopePosition,DEMSRE3a,etmnts3a,evmmod3a,g01igb3a,g02esa3a,g02igb3a,g03esa3a,g04esa3a,g04igb3a,g05esa3a,g06esa3a,g10igb3a,g11esa3a,g11igb3a,g12igb3a,g14esa3a,g15esa3a,g16esa3a,g18esa3a,g19esa3a,g21esa3a,gacgem3a,gachws3a,galhws3a,garhws3a,gcmhws3a,geaisg3a,gflhws3a,gfrhws3a,gglhws3a,ghshws3a,gkshws3a,glcesa3a,glcjrc3a,glphws3a,glvhws3a,glwwwf3a,glxhws3a,gphhws3a,gplhws3a,grghws3a,gsnhws3a,gsthws3a,gumhws3a,gvrhws3a,iflgre3a,inmsre3a,inssre3a,l02igb3a,l04igb3a,l05igb3a,l06igb3a,l07igb3a,l08igb3a,l09igb3a,l10igb3a,l11igb3a,l12igb3a,l13igb3a,l14igb3a,l3pobi3b,lammod3a,lasmod3a,ln1dms3a,ln2dms3a,lnmdms3a,opisre3a,px1wcl3a,px2wcl3a,px3wcl3a,px4wcl3a,SLPSRT3a,smkisr3a,tdhmod3a,tdlmod3a,tdmmod3a,tdsmod3a,tnhmod3a,tnlmod3a,tnmmod3a,tnsmod3a,twisre3a,tx1mod3a,tx2mod3a,tx3mod3a,tx4mod3a,tx5mod3a,tx6mod3a,wmkmod3a,precivs,dem30vs,ndvivs,tempovs,tempevs,acrisolvs,alisolvs,drenajevs,suelostvs,cober1vs,geolovs,arenovs,cambivs,ferravs,fluvivs,gleyvs,histo1vs,histo2vs,leptovs,luvivs,Phaevs
65,1,1,-63.0850,9.5370,7.643,1.5,3.44,45.00001014,1.769082785,1.565139532,1.069192171,-869.2531738,1531.179443,-0.305439919,1.30E-06,0.0004812,-8.966888428,4.372773647,42.48197937,2.518032074,350.7866211,0.007127084,46,12685,4408,9,0,9,0,25,14,75,0,14,0,14,14,0,0,0,0,0,0,23,60,0,0,0,72,0,0,0,0,0,40,13,0,0,0,0,0,40,0,0,0,0,0,0,33,20.68053055,0,0,0,0,0,0,40,0,0,0,0,60,7,16,7,-9,-4,2,1570,85,28,153,124,0,1,33,23,28,2,24,19,22,1,132,26,30,30,28,29,28,0,1175,44,6721,28.46500015,269,60,0,22,2,9,110,0,0,0,0,0,0,5.050300121,0,0,0
1,2,2,-64.2810,8.9840,1.932,1.6,0.93,297.777801,1.397503138,1.568309784,0.539706588,-14601.58105,3566.912842,-6.405535698,5.23E-07,0.000158381,-10.49467278,3.797154188,225.1998901,72.57791138,9.118408203,0.888386548,299,9161,2596,10,0,10,0,0,9,0,0,10,100,10,10,0,0,0,0,0,0,9,0,0,0,60,72,0,0,0,0,0,110,13,0,40,0,0,0,0,0,0,0,0,0,0,34,20.95689392,0,0,0,0,0,0,20,80,0,0,0,0,7,5,3,-60,-3,14,1568,38,16,149,145,1,1,38,21,30,4,24,20,22,1,127,29,39,33,29,31,31,0,1047,301,3694,26.79450035,260,0,0,41,3,14,110,0,60,0,0,0,0,0,0,40,0
214,4,4,-68.2510,9.4690,5.842,1.4,2.45,189.7775586,2.240783453,1.570644379,2.854841232,130311.8438,-13152.76074,6.502034187,-1.23E-06,0.000130842,-13.48079872,3.654842138,104.4542389,85.32331848,686.2160645,0.110588416,194,11962,3776,8,0,9,0,0,9,0,0,9,0,9,9,100,0,0,0,0,0,356,0,0,0,40,72,0,0,0,0,0,140,12,0,60,0,0,0,0,0,0,0,0,0,0,35,20.55133247,0,0,0,0,0,20,80,0,0,0,0,0,4,14,8,2,NA,NA,1559,47,27,226,171,17,1,45,26,30,5,26,13,23,2,116,33,43,40,27,28,30,0,1405,188,2953,27.52899933,263,0,0,31,7,9,138,0,40,0,0,0,0,0,0,60,0
113,5,5,-67.5370,8.7660,4.962,1.5,2.23,79.77777209,1.31454587,1.562623143,4.291399956,5211.083008,2929.346924,13.94342422,-1.10E-06,0.000130955,-9.148262978,3.917671442,75.14646912,4.63130188,155.5083008,0.028920403,79,12309,4192,9,0,14,75,25,14,0,0,14,0,14,14,0,0,0,0,0,0,23,0,0,0,0,72,0,0,65,0,0,20,13,0,0,0,0,0,0,0,0,0,0,35,0,34,20.70670128,0,0,0,0,0,0,20,0,0,0,0,80,1,18,8,-1,2,1,1570,24,21,211,182,0,1,33,24,29,2,25,19,23,1,141,30,31,32,28,27,29,0,1315,79.0062027,5396,28.23749924,274,0,0,22,3,14,111,0,0,0,0,65,0,3.068900108,0,0,0
2,6,6,-72.3850,7.6590,11.177,1.5,5.03,1048.027889,1.494948268,1.570582032,0.67808342,-92181.15625,-187792.6719,-0.860390186,-5.67E-05,0.002228874,-10.06965923,6.749837875,464.7645874,583.2632446,1597.439819,0.267465681,1025,13401,4839,13,0,13,0,0,13,100,0,13,0,13,13,0,0,0,0,0,0,22,0,0,0,0,80,0,0,0,0,0,40,17,40,0,0,0,0,0,0,0,0,60,0,0,35,22.0975666,0,0,0,0,0,0,0,0,0,0,100,0,5,35,23,-94,6,21,1516,85,66,158,137,9,2,29,18,24,2,19,6,16,3,96,24,25,25,24,24,24,0,1317,1082,1095,21.71800041,207,0,0,42,10,13,114,0,0,0,0,0,0,0.0013,40,0,0
343,8,8,-70.8430,8.8350,24.227,1.45,10.54,3946.19452,0.894907296,1.570709467,5.012835979,-141192.8906,290199.125,-2.321397543,5.98E-05,0.000187495,-13.44821358,4.114093781,980.848938,2965.345703,240.5384979,0.924969673,3975,12460,1564,6,0,6,0,0,7,0,0,6,0,6,6,100,0,0,0,0,0,88,0,0,0,0,52,0,0,0,0,0,140,13,0,0,0,0,0,0,60,0,0,40,0,0,46,26.88352585,0,0,0,80,20,0,0,0,0,0,0,0,3,3,1,-2,-3,1,1507,29,35,129,103,31,1,29,4,17,7,5,-6,0,2,84,23,27,21,12,18,16,0,880,4047,3003,2.445499897,54,0,0,42,10,6,10,0,0,0,0,0,0,1.170899987,0,0,0
217,9,9,-70.2970,8.5810,5.52,1.5,2.48,191.1110988,2.075092554,1.56837821,3.173840523,-17481.02539,-39318.73047,-3.280987263,4.19E-07,0.001231847,-8.728196144,5.436461449,189.4709473,1.640151978,1156.030518,0.001416769,193,10842,4349,9,0,9,0,0,9,100,0,9,0,9,14,0,0,0,0,0,0,14,25,0,0,30,72,0,0,0,0,0,40,13,0,45,0,0,0,0,0,0,0,0,0,0,34,20.85974693,0,0,0,0,0,0,100,0,0,0,0,0,6,17,11,-42,-6,10,1564,56,45,238,196,1,1,40,19,30,4,25,19,22,2,128,31,38,29,30,29,29,0,1607,190.0074005,4836,27.52249908,269,25,0,31,7,8,111,0,30,0,0,0,0,0.96359998,0,45,0
117,10,10,-67.3160,8.8420,5.21,1.5,2.34,83.08332546,1.261987925,1.563811302,4.369343758,-11357.34668,-13509.1084,-22.74553299,0.142893717,0.558712542,-1.061332226,20.37511826,83.22621918,0,103.1098633,0,82,14573,4885,9,0,9,25,50,9,25,0,9,0,9,9,0,0,0,0,0,0,54,0,0,0,0,72,0,0,30,0,0,40,13,0,0,0,0,0,0,0,0,0,0,70,0,34,20.70670128,0,0,0,0,0,0,100,0,0,0,0,0,1,19,8,2,NA,NA,1568,25,26,196,179,0,1,36,22,28,4,25,17,23,1,141,30,36,34,26,26,29,0,1277,83.03900146,5393,28.23749924,276,0,0,32,3,8,111,0,0,0,0,30,0,2.062799931,0,0,0
89,11,11,-67.6070,8.4440,1.693,1.6,0.81,64.58333217,1.825952411,1.548832059,3.556106567,-952.6104736,-1927.785034,-0.418150604,3.71E-06,0.000102147,-9.160045624,3.206343651,63.24233627,1.340999603,188.9645996,0.007046559,65,11312,4045,10,0,14,0,0,9,0,0,9,0,9,9,100,0,0,0,0,0,107,0,0,0,0,72,0,0,65,0,0,140,1,0,0,4,0,0,0,0,0,0,0,35,0,34,20.67313576,0,0,0,0,0,0,60,20,0,0,0,20,1,16,8,2,NA,NA,1570,28,24,223,197,0,1,41,24,29,4,25,21,23,1,141,31,38,30,27,27,29,0,1416,64.02449799,4466,28.36100006,274,0,0,22,9,9,111,0,0,0,0,65,0,1.165099978,0,0,0
277,12,12,-67.5560,10.2240,6.89,1.55,3.2,435.6111004,0.717630863,0.1298365,4.324070454,-75.30331421,-21241.68945,6.825858593,13.7845602,0.000827524,-0.576476514,0.388204902,411.0126953,38.38296509,1253.173584,0.029718377,435,10026,2871,13,0,13,0,0,13,0,0,13,0,13,13,0,0,0,0,100,0,6,0,0,0,0,72,0,0,0,0,100,190,13,0,0,0,0,0,0,0,0,0,0,0,0,34,21.14773941,0,0,0,0,0,0,0,0,0,0,100,0,6,8,4,-278,18,63,1557,26,15,134,135,1,2,40,25,34,4,23,13,21,2,125,34,40,36,32,32,33,0,930,435.6600037,3289,25.93000031,250,0,0,50,5,13,111,0,0,0,0,0,0,0,0,0,0
