I,ID,ID1,LONV,LATV,COG_G,DA,CO_STOCK,DEM,AnalyticalHillshading,Slope,Aspect,CrossSectionalCurvature,LongitudinalCurvature,CovergenceIndex,ClosedDepressions,FlowAccumulation,TopographicWetnessIndex,LSFactor,ChannelNetworkBaseLevel,VerticalDistanceToChannelNetwork,ValleyDepth,RelativeSlopePosition,DEMSRE3a,etmnts3a,evmmod3a,g01igb3a,g02esa3a,g02igb3a,g03esa3a,g04esa3a,g04igb3a,g05esa3a,g06esa3a,g10igb3a,g11esa3a,g11igb3a,g12igb3a,g14esa3a,g15esa3a,g16esa3a,g18esa3a,g19esa3a,g21esa3a,gacgem3a,gachws3a,galhws3a,garhws3a,gcmhws3a,geaisg3a,gflhws3a,gfrhws3a,gglhws3a,ghshws3a,gkshws3a,glcesa3a,glcjrc3a,glphws3a,glvhws3a,glwwwf3a,glxhws3a,gphhws3a,gplhws3a,grghws3a,gsnhws3a,gsthws3a,gumhws3a,gvrhws3a,iflgre3a,inmsre3a,inssre3a,l02igb3a,l04igb3a,l05igb3a,l06igb3a,l07igb3a,l08igb3a,l09igb3a,l10igb3a,l11igb3a,l12igb3a,l13igb3a,l14igb3a,l3pobi3b,lammod3a,lasmod3a,ln1dms3a,ln2dms3a,lnmdms3a,opisre3a,px1wcl3a,px2wcl3a,px3wcl3a,px4wcl3a,SLPSRT3a,smkisr3a,tdhmod3a,tdlmod3a,tdmmod3a,tdsmod3a,tnhmod3a,tnlmod3a,tnmmod3a,tnsmod3a,twisre3a,tx1mod3a,tx2mod3a,tx3mod3a,tx4mod3a,tx5mod3a,tx6mod3a,wmkmod3a,precivs,dem30vs,ndvivs,tempovs,tempevs,acrisolvs,alisolvs,drenajevs,suelostvs,cober1vs,geolovs,arenovs,cambivs,ferravs,fluvivs,gleyvs,histo1vs,histo2vs,leptovs,luvivs,Phaevs
198,21,328,-68.1414,10.4571,18.486,1.45,8.04,258.5553466,0.983077466,1.570632815,4.828218937,20300.35938,46535.1875,0.270568758,1.23E-05,6.96E-05,-14.62277031,2.866208315,57.44577408,201.1095886,1165.396484,0.147170648,299,15230,5388,2,0,2,0,0,2,100,0,2,0,2,2,0,0,0,0,0,0,18,0,0,0,70,72,0,0,0,0,0,40,1,0,30,0,0,0,0,0,0,0,0,0,0,33,21.05771255,100,0,0,0,0,0,0,0,0,0,0,0,6,48,21,-103,1,23,1552,95,47,140,140,19,1,31,22,26,2,24,16,21,2,101,25,26,26,27,28,26,0,1265,161,9441,27.7045002,269,0,0,42,7,2,99,0,70,0,0,0,0,0.504299998,0,30,0
166,23,23,-69.07,9.487,9.702,1.4,4.07,134.6666637,2.347770452,1.567618847,2.232303143,1319.027466,-4022.982422,1.093140602,-7.23E-06,0.006288016,-6.568081379,7.929011345,134.3822632,0.284393311,436.996582,0.000650367,134,10531,3724,14,0,14,25,25,14,0,0,14,0,14,14,50,0,0,0,0,0,45,25,0,0,30,72,0,0,0,0,0,140,18,0,45,0,0,0,0,0,0,0,0,0,0,34,20.74921227,0,0,0,0,0,0,0,0,0,0,0,100,4,11,4,-50,-1,11,1569,41,35,224,163,1,1,37,26,31,3,25,17,22,2,136,31,36,35,28,29,30,0,1386,134,3733,27.87999916,270,25,0,50,7,14,111,0,30,0,0,0,0,1.276800036,0,45,0
235,28,28,-68.892,10.133,5.01,1.45,2.18,253.6666373,2.338718653,1.569880128,2.169382811,-122751.0313,-1263430,-1.735999942,3.91E-06,0.011076741,-6.0175457,11.35166264,253.6666412,0,1040.530273,0,253,12523,4274,14,0,14,0,0,14,0,0,14,0,14,14,100,0,0,0,0,0,27,0,0,0,60,72,0,0,40,0,0,140,1,0,0,0,0,0,0,0,0,0,0,0,0,34,20.86798096,0,0,0,0,0,0,0,0,0,0,0,100,6,14,8,-47,5,11,1507,48,28,176,122,3,1,39,24,29,4,23,12,20,2,121,29,37,33,27,27,29,0,1120,243,2859,27.17149925,257,0,0,50,7,8,111,0,60,0,0,40,0,0,0,0,0
95,39,346,-72.2314,8.2951,6.67,1.5,3,67.80555615,0.784614027,1.561059475,5.440377235,-21850.75977,-20052.85547,-9.034572601,1.10E-06,0.002898864,-5.990483761,7.11369133,67.6495285,0.156028748,1845.695313,8.45E-05,68,14704,5353,9,0,9,0,100,14,0,0,14,0,14,14,0,0,0,0,0,0,148,0,0,0,100,72,0,0,0,0,0,30,16,0,0,0,0,0,0,0,0,0,0,0,0,34,20.73298836,0,0,0,0,0,0,40,0,0,0,0,60,7,20,10,-14,-3,3,1564,243,189,168,197,0,1,34,22,28,3,24,13,22,3,133,26,29,27,29,31,28,0,2375,69,8911,28.30249977,275,0,0,23,3,14,111,0,100,0,0,0,0,3.894500017,0,0,0
278,43,43,-67.543,10.18,8.24,1.45,3.58,434.1111088,0.381864339,0.128171653,5.106087208,-6.547380924,-6.636213303,-3.993516684,15.28372765,0.008160427,1.49312079,0.57602942,444.8754578,4.519378662,1207.498535,0.003728805,434,NA,3010,13,0,13,0,0,13,0,0,13,0,13,13,0,0,0,0,100,0,0,0,0,0,0,72,0,0,0,0,100,190,22,0,0,0,0,0,0,0,0,0,0,0,0,34,21.12454033,0,0,0,0,0,0,0,0,0,0,100,0,6,NA,NA,-272,15,62,1562,25,14,138,135,1,2,44,23,33,5,24,19,21,1,125,34,42,36,30,32,34,0,933,435.6542969,2068,25.93000031,252,0,0,50,8,13,111,0,0,0,0,0,0,0,0,0,0
53,43,350,-72.3028,8.5483,22.27,1.35,9.02,28.41666748,1.118815064,1.555913329,0.124356896,-7685.078125,-4314.848633,-9.055244446,4.55E-07,0.015986484,-3.744208336,10.240242,28.41666794,0,1460.684326,0,28,14062,4856,10,0,10,75,25,9,0,0,14,0,14,14,0,0,0,0,0,0,96,0,0,0,100,72,0,0,0,0,0,20,16,0,0,0,0,0,0,0,0,0,0,0,0,33,20.69725037,0,0,0,0,0,0,20,40,0,0,0,40,7,17,9,2,NA,NA,1570,196,139,182,191,0,1,36,24,28,2,26,17,22,2,134,27,32,31,30,31,28,0,2125,28.01140022,7105,28.57550049,282,0,0,23,5,14,111,0,100,0,0,0,0,13.84500027,0,0,0
28,46,46,-66.146,10.481,10.445,1.4,4.39,11.66667097,2.256991625,1.568448186,1.89749825,-59720.87109,-16748.03711,-19.92494583,-1.70E-07,0.007098762,-6.056125641,9.331686974,11.6666708,0,1153.917969,0,11,14866,5691,2,0,2,0,75,14,25,0,2,0,8,2,0,0,0,0,0,0,60,0,0,0,100,80,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,33,20.67418671,60,0,0,0,0,20,0,0,0,0,0,20,7,24,17,-96,-16,22,1558,169,38,123,137,1,1,31,19,26,2,24,13,21,2,128,25,27,30,28,28,25,0,1383,10,4983,28.68600082,276,0,0,50,5,2,111,0,100,0,0,0,0,4.056200027,0,0,0
287,58,365,-68.2506,10.313,10.697,1.476,4.74,405.8608446,1.113509893,1.570711374,4.601322174,-995187.9375,-708636,-9.951770782,-4.71E-06,0.00087308,-11.81763554,5.725758553,312.0052185,93.85562134,1075.436768,0.080267027,362,13912,4850,14,0,14,0,0,14,100,0,9,0,9,2,0,0,0,0,0,0,106,0,0,0,70,37,0,0,0,0,0,40,1,0,30,0,0,0,0,0,0,0,0,0,0,34,20.89107895,0,0,0,0,0,0,40,0,0,0,0,60,6,18,12,-29,2,7,1442,71,42,162,145,28,1,31,20,26,2,22,15,19,2,88,25,29,28,25,27,25,0,1156,497,7416,25.52050018,240,0,0,42,5,8,123,0,70,0,0,0,0,0.002,0,30,0
108,62,61,-68.799,8.942,13.775,1.5,6.2,77.77777563,2.347979546,1.563886642,2.241943598,1616.461914,-986.7255249,2.616239786,2.99E-06,0.000156056,-9.487421036,3.785834312,75.83332062,1.944458008,562.5566406,0.00344456,77,13038,4585,9,0,9,100,0,9,0,0,9,0,8,9,0,0,0,0,0,0,232,0,0,0,50,72,0,0,25,0,0,20,1,0,0,0,0,25,0,0,0,0,0,0,0,34,20.70670128,0,0,0,0,0,20,80,0,0,0,0,0,1,41,22,2,NA,NA,1570,44,39,261,186,0,1,39,24,29,4,24,17,22,1,135,30,37,33,26,27,27,0,1592,79,4091,28.23749924,275,0,0,50,9,14,111,0,50,0,0,25,0,0.692700028,0,0,25
177,68,67,-69.724,9.002,10.735,1.5,4.83,142.1388865,2.336746216,1.567701459,2.161661148,-1871.277466,-8363.585938,-0.108840503,-1.00E-06,0.003206841,-7.267784119,6.929979801,142.1388855,0,708.510498,0,142,11086,3803,9,0,14,25,0,14,0,0,14,25,14,14,50,0,0,0,0,0,7,25,0,0,30,72,0,0,0,0,0,110,18,0,45,0,0,0,0,0,0,0,0,0,0,34,20.80093956,0,0,0,0,0,0,20,0,0,0,0,80,4,12,6,-90,-28,20,1567,49,42,234,167,1,1,44,25,32,5,25,21,23,1,130,34,41,34,27,30,30,0,1493,144,3561,27.81500053,274,25,0,31,7,14,111,0,30,0,0,0,0,1,0,45,0
